HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,18,32,0.5625,1,8.38825,0.262133
2,232,496,0.467742,1,46.8821,0.0945203
3,2208,4960,0.445161,1,220.265,0.0444083
4,15746,35960,0.437875,1,960.107,0.0266993
5,86955,201376,0.431804,1,3728.9,0.0185171
6,382859,906192,0.422492,1,12390.3,0.013673
7,1380933,3.36586e+06,0.410277,1,34686.7,0.0103055
8,791828,2e+06,0.395914,0,15717.1,0.00785857
9,760181,2e+06,0.38009,0,11929.7,0.00596486
10,730119,2e+06,0.365059,0,9213.14,0.00460657
11,700075,2e+06,0.350038,0,7109.52,0.00355476
12,674003,2e+06,0.337002,0,5514.57,0.00275729
13,651484,2e+06,0.325742,0,4317.46,0.00215873
14,630607,2e+06,0.315304,0,3501.21,0.00175061
15,615002,2e+06,0.307501,0,2854.52,0.00142726
16,602658,2e+06,0.301329,0,2437.5,0.00121875
