GenomeID,Fitness,NumberEvolvingFitter,NumberEvolvingEqual
214c-e1de-2fb1-f411-6cdc,0.0078125,1471,203
7532-f4e3-7a7f-c036-7fb1,0.000353894,13765,330
bd10-e182-618f-ecc1-d593,0.000411987,15257,1468
ca56-aa41-4ce0-44d5-6a78,0.00023593,20518,331
cc91-1e6-4bfa-2e20-eea7,0.00030899,13963,1172
f209-1bac-edb3-4d47-b73d,0.000411987,14753,1458
1e50-4678-90b5-6a4a-7499,0.000231743,21204,937
5c60-7f70-16fc-4a13-ccb7,0.000267918,17038,221
8762-1b7c-999e-3b3a-9563,0.000549316,10129,1063
286d-598a-dbdb-b923-c3d4,0.000530842,10175,668
5074-3880-4fad-c199-c5e6,0.000411987,14709,1483
4afc-1df9-4556-61f8-680c,0.00023593,19302,504
26e8-ab7e-b713-6c3e-d77,0.000774488,4055,1
1f1f-7e4c-3da9-28ea-70bb,0.000758519,3438,3
cb58-dbf9-7c97-2907-cd4,0.000216,17947,8
2f8a-3d14-225d-e69d-a953,0.00439453,899,25
1774-8bd9-3836-dc85-188e,0.000411987,15253,1486
f64-9755-b0f0-a5d4-ad82,0.00164795,1920,79
27ce-d55e-ea96-4a2b-bbfb,0.000353894,15089,1193
93e9-79ff-c1b8-bb88-e77c,0.000549316,6500,690
f05f-53e3-2051-faff-68d4,0.000183521,17924,86
a2fe-5659-c4d2-c350-5159,0.00023593,17355,516
2da6-457d-63cd-2254-ffe1,0.000530842,9404,549
52c6-2f91-fc5-d6cb-8d41,0.000381039,13560,492
1d4-f563-fa55-8b39-c4ec,0.000652894,6458,12
9f2-5c46-561b-cec4-1f96,0.000796262,4304,176
a774-fc6a-6513-b41-1ebf,0.000541923,7883,2262
ef21-e323-c3e7-ab64-d8a8,0.000426667,10861,4
a783-a92a-726f-4086-6271,0.000578183,4760,53
3466-a855-d907-82b6-1d0f,0.000386238,17602,57
dd9-5e47-939e-380f-342d,0.00064373,7242,223
9565-2730-1750-594c-d295,0.000796262,2601,348
a50b-7b35-ca3-bab2-be96,0.000609663,6990,406
83fb-6e84-d015-1799-a693,0.000353894,16149,1215
94e6-bbe4-42e4-64fb-d37d,0.000148844,19584,120
e978-693e-807c-b73c-84d1,0.000530842,12286,768
fe4f-d655-6df5-40da-aa96,0.000123214,19112,43
526-2049-23e3-178c-c5a,0.000411987,11449,1262
afd2-80cc-de19-304f-3808,0.000771605,2991,449
62ea-b717-8f9d-f346-44fa,0.000565778,10186,116
5f14-41ab-767a-df23-bca5,0.0012091,1077,0
96eb-3393-cc84-7340-cae7,0.000428669,15660,598
415f-2312-4bb3-1f78-5361,0.000520365,13638,100
83bb-8262-a78-1358-75a9,0.000428669,10518,412
18c3-999d-5e33-e548-cdd,0.000685871,6234,508
291a-26a7-2ff0-74cd-4620,0.00030899,16181,1085
8351-f888-c882-8dca-be0,0.000509779,10497,331
aa64-3f1a-78a9-a8ab-2b83,0.000404728,16611,42
8430-8964-4759-5563-8938,0.00154321,2133,192
4fe2-a29b-d2c8-e627-c52c,0.000541923,9559,2188
f1e4-884c-25e8-ee3e-4cf3,0.000549316,8206,956
